epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3562.89,2.24488,2.21148,1.4456,0.57046,0.54014,0.5356,0.18841,2.16199,2.40864,1.479,0.000665832,0.000665832,0.000665832
2,7144.32,2.26835,1.75737,1.47381,0.58697,0.56519,0.56193,0.20249,2.16318,1.77314,1.48286,0.00130612,0.00130612,0.00130612
3,11621.8,2.25903,1.67561,1.46292,0.56041,0.5669,0.54932,0.19248,2.16602,2.094,1.46774,0.00192,0.00192,0.00192
4,15379.6,2.20843,1.61507,1.44031,0.63542,0.58038,0.60964,0.22415,2.11403,1.79312,1.43671,0.0018812,0.0018812,0.0018812
5,19119.1,2.17345,1.54879,1.41618,0.6205,0.6041,0.61211,0.22819,2.08713,1.76227,1.42481,0.0018416,0.0018416,0.0018416
