                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2643,                 0.9522,                 1.3992,                0.86305,                0.80561,                0.87309,                0.52103,                 1.3404,                0.71984,                 1.4464,               0.006535,               0.006535,               0.006535
                     37,                 1.2622,                0.91958,                 1.3902,                0.85957,                0.81478,                0.87088,                0.53912,                 1.3292,                0.70703,                 1.4439,               0.006436,               0.006436,               0.006436
                     38,                 1.2545,                0.91884,                 1.3863,                0.84405,                0.82711,                0.87491,                0.53204,                 1.3344,                 0.7045,                 1.4385,               0.006337,               0.006337,               0.006337
                     39,                  1.247,                0.91707,                 1.3813,                0.85049,                0.82531,                0.86806,                0.54514,                 1.3248,                0.69709,                 1.4345,               0.006238,               0.006238,               0.006238
                     40,                 1.2321,                0.90503,                  1.374,                  0.857,                0.82363,                0.87235,                0.54416,                 1.3247,                0.68899,                 1.4458,               0.006139,               0.006139,               0.006139
                     41,                 1.2231,                0.88772,                 1.3652,                0.88567,                0.80656,                0.88523,                0.54507,                 1.3175,                0.67982,                 1.4333,                0.00604,                0.00604,                0.00604
                     42,                 1.2316,                0.87911,                 1.3685,                0.87376,                0.82163,                0.88502,                0.55042,                  1.315,                0.67448,                 1.4358,               0.005941,               0.005941,               0.005941
                     43,                 1.2111,                0.87443,                 1.3612,                0.86253,                0.82474,                 0.8858,                0.55361,                 1.3111,                0.67195,                 1.4291,               0.005842,               0.005842,               0.005842
                     44,                 1.2012,                0.85585,                 1.3475,                 0.8495,                0.82399,                0.87946,                0.54888,                 1.3198,                0.66919,                 1.4326,               0.005743,               0.005743,               0.005743
                     45,                 1.2045,                0.85809,                 1.3541,                0.87604,                0.81709,                0.88947,                0.55328,                 1.2996,                0.66781,                 1.4227,               0.005644,               0.005644,               0.005644
                     46,                 1.1932,                0.84667,                 1.3418,                0.81996,                0.85905,                0.88644,                0.56134,                 1.2966,                0.66833,                 1.4129,               0.005545,               0.005545,               0.005545
                     47,                 1.1866,                0.84157,                 1.3397,                0.84156,                0.84948,                0.87866,                0.55635,                 1.2886,                 0.6607,                 1.4086,               0.005446,               0.005446,               0.005446
                     48,                 1.1807,                0.83516,                 1.3365,                0.87354,                0.82458,                0.88864,                0.56123,                 1.2933,                0.64685,                 1.4125,               0.005347,               0.005347,               0.005347
                     49,                 1.1768,                0.82704,                 1.3345,                0.86223,                 0.8505,                0.89132,                0.55762,                 1.2894,                0.63996,                 1.4188,               0.005248,               0.005248,               0.005248
                     50,                 1.1698,                0.81271,                 1.3241,                0.86535,                0.83074,                0.88633,                0.56332,                 1.2713,                0.63582,                 1.4031,               0.005149,               0.005149,               0.005149
                     51,                 1.1582,                0.80646,                 1.3212,                0.85463,                0.83444,                0.89181,                0.57024,                 1.2616,                0.63109,                 1.3983,                0.00505,                0.00505,                0.00505
                     52,                  1.155,                0.79666,                 1.3111,                0.83775,                 0.8539,                0.88662,                 0.5655,                  1.272,                0.63835,                 1.4021,               0.004951,               0.004951,               0.004951
                     53,                 1.1409,                0.78586,                 1.3034,                0.87837,                0.82705,                0.89012,                0.56228,                  1.272,                 0.6356,                  1.399,               0.004852,               0.004852,               0.004852
                     54,                 1.1401,                0.78885,                 1.2964,                0.86625,                0.83769,                0.89378,                 0.5654,                 1.2573,                0.62717,                 1.3879,               0.004753,               0.004753,               0.004753
                     55,                 1.1329,                0.77903,                 1.2958,                0.86484,                0.82661,                0.89584,                0.56761,                 1.2543,                0.62927,                 1.3834,               0.004654,               0.004654,               0.004654
                     56,                 1.1232,                0.77107,                  1.288,                0.86162,                0.84675,                0.89621,                0.56527,                 1.2665,                0.62619,                 1.3989,               0.004555,               0.004555,               0.004555
                     57,                 1.1252,                0.76834,                 1.2875,                0.87202,                0.82753,                0.89406,                0.57122,                 1.2648,                0.62037,                 1.3955,               0.004456,               0.004456,               0.004456
                     58,                 1.1171,                0.76141,                 1.2813,                0.85038,                0.84826,                0.89698,                0.56937,                 1.2561,                 0.6187,                 1.3943,               0.004357,               0.004357,               0.004357
                     59,                 1.1108,                 0.7609,                 1.2808,                0.83318,                0.86539,                0.89357,                0.57198,                  1.256,                 0.6208,                 1.3935,               0.004258,               0.004258,               0.004258
                     60,                 1.1074,                0.75299,                 1.2761,                0.84215,                0.86954,                 0.8978,                0.57144,                 1.2557,                0.61621,                 1.3933,               0.004159,               0.004159,               0.004159
                     61,                 1.0948,                0.74023,                 1.2693,                0.85864,                0.85727,                0.89736,                0.57283,                   1.25,                0.62126,                 1.3864,                0.00406,                0.00406,                0.00406
                     62,                 1.0909,                0.73235,                  1.269,                0.84968,                0.86231,                0.89482,                 0.5712,                 1.2437,                0.61404,                 1.3859,               0.003961,               0.003961,               0.003961
                     63,                 1.0843,                0.72378,                 1.2573,                0.86872,                0.84503,                0.89524,                0.57251,                 1.2378,                0.60823,                 1.3785,               0.003862,               0.003862,               0.003862
                     64,                 1.0718,                0.72065,                 1.2489,                0.85223,                0.85789,                0.89399,                0.56985,                 1.2344,                0.61163,                 1.3762,               0.003763,               0.003763,               0.003763
                     65,                 1.0726,                0.71572,                 1.2448,                 0.8592,                0.84964,                 0.8945,                0.57047,                  1.236,                 0.6105,                 1.3741,               0.003664,               0.003664,               0.003664
                     66,                 1.0617,                0.70284,                  1.235,                0.84646,                0.86762,                0.89541,                0.57787,                 1.2327,                0.60291,                 1.3726,               0.003565,               0.003565,               0.003565
                     67,                 1.0586,                0.70219,                 1.2363,                0.87497,                0.84527,                0.89643,                0.57802,                 1.2317,                0.59699,                 1.3778,               0.003466,               0.003466,               0.003466
                     68,                 1.0601,                0.70884,                 1.2381,                0.85241,                0.84569,                0.89583,                0.57774,                 1.2273,                0.59617,                  1.371,               0.003367,               0.003367,               0.003367
                     69,                 1.0472,                0.69406,                 1.2338,                0.86013,                  0.852,                0.90084,                0.58835,                 1.2241,                0.59469,                 1.3688,               0.003268,               0.003268,               0.003268
                     70,                 1.0414,                0.68979,                 1.2269,                0.86956,                0.84809,                0.90017,                0.58645,                 1.2213,                0.59589,                 1.3653,               0.003169,               0.003169,               0.003169
